"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"24863","\N","000000024863","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24864","\N","000000024864","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22174","5910","000000022174","\N","10","23","4","3766","","2029-12-31 00:00:00","\N","\N","155","2009"
"24865","\N","000000024865","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22348","5736","000000022348","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"24866","\N","000000024866","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22175","5908","000000022175","\N","10","23","4","3766","","2029-12-31 00:00:00","\N","\N","155","2009"
"24867","\N","000000024867","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"27473","\N","000000027473","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24868","\N","000000024868","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25310","\N","000000025310","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21688","5468","000000021688","\N","10","23","4","3717","","2029-12-31 00:00:00","\N","\N","155","2009"
"25311","\N","000000025311","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20582","5523","000000020582","\N","10","23","4","3817","","2029-12-31 00:00:00","\N","\N","132","2009"
"20583","5523","000000020583","\N","10","23","4","3817","","2029-12-31 00:00:00","\N","\N","132","2009"
"12293","4420","000000012293","\N","10","23","8","3017","","2032-12-31 00:00:00","\N","\N","147","2012"
"25638","\N","000000025638","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"25639","\N","000000025639","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20572","5607","000000020572","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"20599","5519","000000020599","\N","10","23","4","3817","","2033-12-31 00:00:00","\N","\N","132","2013"
"16825","5100","000000016825","\N","10","23","4","3826","","2033-12-31 00:00:00","\N","\N","147","2013"
"20600","5516","000000020600","\N","10","23","4","3817","","2027-12-31 00:00:00","\N","\N","132","2007"
"22349","5725","000000022349","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"25640","\N","000000025640","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20604","5514","000000020604","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"18639","5621","000000018639","\N","0","\N","7","\N","","\N","\N","\N","\N","\N"
"20601","3688","000000020601","\N","10","23","4","3817","","2026-12-31 00:00:00","\N","\N","132","2006"
"22409","5729","000000022409","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"25641","\N","000000025641","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20607","5518","000000020607","\N","10","23","4","3817","","2026-12-31 00:00:00","\N","\N","132","2006"
"18662","5398","000000018662","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"27474","\N","000000027474","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"22415","5730","000000022415","\N","10","23","4","3758","","2034-12-31 00:00:00","\N","\N","160","2014"
"20612","5513","000000020612","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"20585","5587","000000020585","\N","0","\N","3","\N","","\N","\N","\N","\N","\N"
"20587","5610","000000020587","\N","10","23","4","3817","","2028-12-31 00:00:00","\N","\N","132","2008"
"24337","\N","000000024337","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"20589","5557","000000020589","\N","10","23","4","3817","","2027-12-31 00:00:00","\N","\N","132","2007"
